Lieu,Prix,Details,Description,Lien,Image,DerniereVue
Lille (Nord),1 075 CHF/mois,71 m² - 3 pièces - 2 chambres,"[ À LOUER ] à Lille, Place Jeanne d'Arc, à proximité immédiate du centre-ville, des commerces et des transports !Un appartement T3 non meublé de 70,64 m² habitables, situé au 1er étage d'une copropriété de standing.Loyer mensuel charges comprises : 1 140 euros (Détails du loyer et de l'encadrement des loyers ci-dessous)--L'APPARTEMENT :- Une entrée avec rangements- Un séjour spacieux et lumineux de 21,74 m²- Une cuisine indépendante de 7,96 m²- Une première chambre de 11,71 m² avec accès à une mezzanine- Une seconde chambre de 10,98 m²- Une salle de bains de 5,30 m²- Un WC indépendant- Plusieurs placards et espaces de rangement- Une mezzanine offrant 5,54 m² supplémentaires au solL'appartement développe une surface habitable de 70,64 m² et une surface totale au sol de 77,25 m².Il bénéficie de beaux volumes, d'une belle hauteur sous plafond, d'un appartement et d'une copropriété de standing ainsi que de travaux récents.--ÉLÉMENTS TECHNIQUES :Location non meublée1er étageDouble vitrageFibre optiqueDPE : D / GES : BImmeuble construit avant 1948--Alors, on visite ?Humbert SETTE - Directeur de l'agenceOCARNA - Lille / DunkerqueO6 --CONDITIONS FINANCIÈRES :- Loyer total charges comprises : 1 140 euros / mois- Loyer hors charges : 1 100 euros / mois- Charges mensuelles : 40 euros / mois, sous forme de provision avec régularisation annuelle- Honoraires locataire : 910 euros TTC, dont 210 euros TTC pour la réalisation de l'état des lieux- Dépôt de garantie :1960 euros- Mandat registre T numéro :--ENCADREMENT DES LOYERS :Ce logement est soumis à l'encadrement des loyers.- Surface habitable retenue : 70,64 m²- Loyer de référence : 11,70  / m²- Loyer de référence : 826,49 euros / mois- Loyer de référence majoré : 14,00  / m²- Loyer maximal suivant l'encadrement : 980 euros hors charges / mois- Complément de loyer appliqué : 120 euros / mois- Loyer total hors charges : 1 100 euros / mois- Provision mensuelle pour charges : 40 euros / mois- Loyer total charges comprises : 1 140 euros / moisMotif du complément de loyer :Le complément de loyer est appliqué au regard des caractéristiques particulières du logement et des prestations proposées : standing de la copropriété / standing général de l'appartement / qualité et caractère récent des travaux réalisés / beaux volumes / hauteur sous plafond / mezzanine apportant une surface au sol supplémentaire / caractéristiques particulières de l'emplacement Place Jeanne d'Arc, au coeur de Lille.--COORDONNÉES DE L'AGENCE :OCARNA6 Place du Beffroi 59140 DunkerqueSIRET : voir le numéro0029CARTE T et G numéro : CPIvoir le numéroDélivrée par la CCI Littoral Hauts-de-FranceHonoraires de 910  TTC à la charge du locataire comprenant 210  TTC pour l'état des lieux. Zone soumise à encadrement des loyers. Loyer de référence majoré (loyer de base à ne pas dépasser) 980 /mois. Loyer de base 980 /mois. Provision sur charges 40 /mois, régularisation annuelle. Complément de loyer 120 /mois. Dépôt de garantie 1 960 . Classe énergie D, Classe climat B Montant moyen estimé des dépenses annuelles d'énergie pour un usage standard, établi à partir des prix de l'énergie de l'année 2021 : entre 1050.00 et 1470.00 . Les informations sur les risques auxquels ce bien est exposé sont disponibles sur...",https://www.vizzit.fr/fr/property/appartement/lille/Ab3adp5ac8wsue63,https://lb1.vizzit.com/4247759a/Ab3adp5ac8wsue63/Photos/Ab3adp5ac8wsue63_1.jpg?639259295570000000,2026-09-25
Lille (Nord),1 113 CHF/mois,76 m² - 3 pièces - 2 chambres,"Idéalement situé au cœur de Lille, dans une rue calme et recherchée à deux pas du boulevard de la Liberté, de la Citadelle, des commerces, des transports et du centre-ville, découvrez ce bel appartement niché au 6ᵉ et dernier étage d'une résidence sécurisée et parfaitement entretenue. L'appartement s'ouvre sur une entrée distribuant un agréable séjour lumineux offrant une vue dégagée. La cuisine, semi-ouverte sur la pièce de vie, est entièrement équipée avec une gazinière électrique, une hotte, un réfrigérateur, un lave-vaisselle ainsi que de nombreux rangements. L'espace nuit comprend deux belles chambres confortables. Vous bénéficierez également d'une salle de bains fonctionnelle équipée à la fois d'une douche et d'une baignoire, ainsi que d'un espace cellier particulièrement pratique pour le stockage. Les prestations sont complétées par une cave privative et une place de parking en sous-sol sécurisé, des atouts particulièrement recherchés et devenus rares dans ce secteur prisé du centre de Lille. Une opportunité rare à ne pas manquer !",https://www.vizzit.fr/fr/property/appartement/lille/Ajh8j6z1ya9wcqdr,https://lb1.vizzit.com/3236804a/Ajh8j6z1ya9wcqdr/Photos/Ajh8j6z1ya9wcqdr_1.jpg?639259223290000000,2026-09-25
Lille (Nord),849 CHF/mois,32 m² - Studio,"À louer sur lille studio meublé. Ce logement d'une superficie de 32 m² est disponible immédiatement entre particuliers pour un loyer de 900 €ce logement est réservé aux étudiants. Annonce entre particuliers. Code insee : 59350. Atouts : toilettes indépendantes, internet inclus, ascenseur, cuisine équipée, proximité transport, proximité commerce.",https://www.vizzit.fr/fr/property/appartement/lille/A3hfljd9c7klbnkj,https://lb1.vizzit.com/4107636a/A3hfljd9c7klbnkj/Photos/A3hfljd9c7klbnkj_1.jpg?639259216060000000,2026-09-25
Lille (Nord),839 CHF/mois,46 m² - 2 pièces,"LILLE EUROPE - SAINT MAURICE PELLEVOISIN. Superbe type 3 de 46 m² situé au 5ème étage d'une résidence récente avec ascenseur et CHAUFFAGE COLLECTIF. Il se compose d'une entrée avec WC pmr séparés, un séjour lumineux avec des grandes baies vitrées, une cuisine ouverte équipée, un balcon de 17 m², une chambre avec son dressing attenant, une salle d'eau avec douche italienne. La location pourra être déléguée à Foncia Développement et Location.",https://www.vizzit.fr/fr/property/appartement/lille/Ar16af2n69b41bw0,https://lb1.vizzit.com/200592a/Ar16af2n69b41bw0/Photos/Ar16af2n69b41bw0_1.jpg?639259193560000000,2026-09-25
Lille (Nord),803 CHF/mois,43 m² - 2 pièces - 1 chambre,"LILLE, secteur recherché du Quai du Wault,  Appartement T2 de 43,5m2 à louer au 3ème étage d'une résidence avec gardien. Cet appartement comprend une entrée, un espace rangement, une salle de bains (baignoire, meuble vasque et branchement machine), WC séparés, séjour avec coin cuisine équipé (four, plaques, réfrigérateur, meubles hauts et bas), une chambre. Fenêtres double vitrage neuves.  Les + : un emplacement de stationnement privatif et un cellier.  Loyer : 852€ CC dont provision pour charges mensuelles: 90€ incluant chauffage et eau chaude + froide, ascenseur, entretien des parties communes... Dépôt de garantie : 762€ Frais à la charge du locataire : 515€ incluant bail notarié et état des lieux d'entrée par commissaire de justice - huissier.  Pour organiser une visite, merci de privilégier un contact téléphonique",https://www.vizzit.fr/fr/property/appartement/lille/Aaesrk9fvlowqnml,https://lb1.vizzit.com/814148a/Aaesrk9fvlowqnml/Photos/Aaesrk9fvlowqnml_1.jpg?639259099140000000,2026-09-25
Lille (Nord),651 CHF/mois,62 m² - 2 pièces - 1 chambre,"Century 21 LM immobilier vous invite à habiter ce bel appartement de Type 2 de 62m2 comprenant une entrée, un séjour de 25m2, une cuisine indépendante équipée et aménagée, une salle de bain avec baignoire et wc, et une chambre spacieuse. Vous profitez également d'un local à vélo ou à 2 roues, sécurisé. Situé proche du Métro Fives (3 stations de la gare Lille Flandres), Rue Pierre Legrand, à proximité du nouvel écoquartier Fives Cail, commerces et bus... Libre à partir du 1er Novembre !",https://www.vizzit.fr/fr/property/appartement/lille/A8n13yfql8qrz3h8,https://lb1.vizzit.com/198077a/A8n13yfql8qrz3h8/Photos/A8n13yfql8qrz3h8_1.jpg?639259023620000000,2026-09-25
Lille (Nord),816 CHF/mois,51 m² - 2 pièces - 1 chambre,"Appartement T2 meublé avec cave et parking — Votre futur havre de paix à LilleKW AVINA est ravie de vous proposer à la location cet appartement T2 lumineux et parfaitement agencé de 51,6 m². Idéal pour les jeunes actifs, les couples ou toute personne cherchant un cadre de vie fonctionnel et apaisant au cœur de la métropole.? Un cadre de vie exceptionnelPlongez dans un appartement où l'élégance et la praticité se rencontrent. Entièrement meublé selon la réglementation en vigueur, ce bien allie modernité et confort pour créer une ambiance chaleureuse dès votre arrivée. Situé au 3ᵉ étage avec ascenseur, il vous offre le calme et la sérénité que vous recherchez.? Les espaces de viePièce à vivre & Cuisine : Un salon-séjour spacieux et baigné de lumière, ouvert sur une cuisine équipée et aménagée, conçue pour vous simplifier le quotidien et partager des moments conviviaux.Chambre cosy : Un véritable sanctuaire de tranquillité, idéal pour des nuits réparatrices, avec ses rangements pratiques.Salle de bain moderne : Un espace fonctionnel et soigné pour prendre soin de vous.? Les plus qui font la différenceAnnexes incluses : Une cave privative de 4,5 m² pour maximiser vos espaces de stockage et un emplacement de parking dédié.Localisation idéale : Au pied du métro M2, à proximité immédiate des gares Lille Flandres et Lille Europe (métro M1, tramway et 10 lignes de bus dans un rayon d'1 km). Accès rapide à la N356 (1 km).Vie de quartier dynamique : Commerces, supermarchés, boulangeries et restaurants accessibles à pied en quelques minutes.? Contactez-nous dès aujourd'hui pour une visite !Votre futur logement n'attend plus que vous.Contact : Floriane CROGUENNEC? Téléphone : ? Agence : KW AVINA — Votre partenaire pour un avenir immobilier serein.",https://www.vizzit.fr/fr/property/appartement/lille/Aohkwxnrq6y96cb2,https://lb1.vizzit.com/4123033a/Aohkwxnrq6y96cb2/Photos/Aohkwxnrq6y96cb2_1.jpg?639259003030000000,2026-09-25
Lille (Nord),932 CHF/mois,50 m² - 2 pièces - 1 chambre,"LILLE BOULEVARD DE LA LIBERTÉ : côté nationale, vous apprecierez cet appartement meublé de type T2 lumineux, situé à proximité de toutes commodités (commerces, gares, mairie de quartier, métro, bus, station V'Lille). L'appartement se trouve au 3 ème étage avec ascenseur. Le logement est situé dans un secteur soumis à l'encadrement des loyers. Le loyer de référence majoré hors charges est de 18.20 €/m2. La surface du bien est de 50.46 € soit 918.37 € arrondi à 918 €/mois Provisions de charges mensuelles : 70€/mois avec régularisation annuelle. Dépôt de garantie : 1 836 € Les honoraires à charges locataires : 657 € Etat des lieux entrant : constat réalisé par commissaire de justice. Pour toutes demandes de visites ou d'informations, veuillez Adel Bouzekri Ikami ou conseiller immobilier ikami (EI) - Annonce rédigée et publiée par un Agent Mandataire -",https://www.vizzit.fr/fr/property/appartement/lille/A85jeqdejeq600nh,https://lb1.green-acres.com/1159405a/A85jeqdejeq600nh/Photos/A85jeqdejeq600nh_1.jpg?639258870330000000,2026-09-25
Lille (Nord),617 CHF/mois,41 m² - 2 pièces,"Tout savoir sur ce bien           Idéalement situé rue Voltaire dans le Vieux Lille, appartement T2 en duplex comprenant une entrée, cuisine séparée, une pièce de vie, à l'étage une chambre, salle de bains avec WC. Chauffage individuel électrique.     Voir plus",https://www.vizzit.fr/fr/property/appartement/lille/Akvi62nub0jyh8ya,https://lb1.vizzit.com/308407a/Akvi62nub0jyh8ya/Photos/Akvi62nub0jyh8ya_1.jpg?639258630690000000,2026-09-25
Lille (Nord),745 CHF/mois,48 m² - 2 pièces,"Tout savoir sur ce bien           Situé rue des Postes proche du métro dans une résidence sécurisée, appartement T2 sur l'arrière de la résidence comprenant une entrée, belle pièce de vie, cuisine aménagée et équipée, une chambre avec placard, salle de bains refaite à neuf, WC séparés.     Voir plus",https://www.vizzit.fr/fr/property/appartement/lille/Ag01qh4tce9iivpc,https://lb1.vizzit.com/308407a/Ag01qh4tce9iivpc/Photos/Ag01qh4tce9iivpc_1.jpg?639258624740000000,2026-09-25
